id,label,confidence,x,y,width,height,notes
room_1,room_1,0.95,79,118,136,227,Large enclosed room on the left side.
room_2,room_2,0.94,216,136,343,284,Largest central enclosed room.
room_3,room_3,0.82,373,60,143,76,Upper central rectangular room; boundary is clear though connected to adjacent top spaces.
room_4,room_4,0.8,560,60,130,72,Upper right-central room along the top edge.
room_5,room_5,0.79,694,60,103,72,"Top right room, rectangular and clearly separated."
room_6,room_6,0.93,595,161,188,155,Large enclosed room surrounding the central square feature on the right side.
room_7,room_7,0.74,346,345,62,75,Small bottom-center room.
room_8,room_8,0.74,409,345,31,75,Narrow bottom-center room.
room_9,room_9,0.74,441,345,31,75,Narrow bottom-center room.
room_10,room_10,0.74,473,345,67,75,Bottom-center room adjacent to the right-side core.
room_11,room_11,0.72,628,352,63,68,Bottom-right room.
room_12,room_12,0.72,699,352,46,68,Bottom-right narrow room.
room_13,room_13,0.72,752,352,61,68,Bottom-right room near the corner.
